"name","weg","age_of_death","smoothie"
"Mr. Fantastic 62738","Fasola adzuki",55,"FALSE"
"The Punisher 157449","Sorrel",57,"FALSE"
"Steve 13703","Jabłko",89,"FALSE"
"Myszka Miki 20072","Tymianek",63,"FALSE"
"Vision 97794","Jarmuż",104,"FALSE"
"Babcia Ela 123904","Kapusta musztardowa",66,"FALSE"
"Elsa 156924","Koper",80,"TRUE"
"Batman 67504","Pomidor",98,"TRUE"
"Groot 101446","Cukier trzcinowy",87,"TRUE"
"Mr. Fantastic 198162","Fasola mung",52,"FALSE"
"Madonna 8727","Sałata",95,"FALSE"
"Juliusz Słowacki 74847","Rabarbar",100,"FALSE"
"Twjózek 108401","Arbuz",89,"FALSE"
"Aragorn 190678","Fasolka szparagowa",74,"FALSE"
"Sven 5918","Papryczka chili",93,"FALSE"
"Quicksilver 75784","Mniszek lekarski",55,"TRUE"
"Gandalf 61635","Korzeń lotosu",74,"FALSE"
"Po 24982","Cress",83,"FALSE"
"Kuba Wojewódzki 68841","Fasola haricot vert",60,"TRUE"
"Domino 187566","Por",76,"FALSE"
"Iron Man 108285","Fasola Lima",68,"FALSE"
"Erik Killmonger 29159","Chayote",39,"FALSE"
"Valeria Richards 47516","Pomidor",69,"TRUE"
"Peter Pan 91778","Wodna cress",66,"FALSE"
"Joker 166538","Karczoch",99,"TRUE"
"Lara Croft 58791","Kapusta",71,"TRUE"
"Ariel 139166","Szczypiorek",86,"TRUE"
"Jean Grey 84113","Bazylia tajska",65,"FALSE"
"Jim Morrison 43894","Sól morska",60,"TRUE"
"Wasp 123243","Papryczka chili",74,"FALSE"
"Scarlet Witch 25267","Korzeń lotosu",91,"FALSE"
"Marta Żmuda-Trzebiatowska 149369","Kard",74,"TRUE"
"Bilbo Baggins 190684","Pędy groszku",86,"FALSE"
"Kuba Wojewódzki 86468","Groch cukrowy",72,"TRUE"
"Rocket Raccoon 123276","Fasola haricot vert",101,"FALSE"
"Superman 141310","Pietruszka",96,"FALSE"
"Jafar 180936","Kolendra",65,"TRUE"
"Elvis Presley 25628","Pomidor",62,"TRUE"
"Angelica Pickles 135691","Trawa cytrynowa",79,"FALSE"
"Scar 87074","Słodka kukurydza",67,"TRUE"
"DarekTakiTam 20665","Brokuł",71,"TRUE"
"Leia Organa 140861","Kapusta musztardowa",93,"FALSE"
"Joker 54914","Rabarbar",46,"FALSE"
"Sabretooth 3995","Kalafior",81,"FALSE"
"Juggernaut 197731","Pędy groszku",79,"FALSE"
"Alicja z Krainy Czarów 74155","Groch czarnooki",110,"TRUE"
"Stan Laurel 153149","Korzeń lotosu",87,"TRUE"
"Sherlock Holmes 87371","Chińska kapusta",69,"FALSE"
"Rocket Raccoon 161796","Rzodkiew",66,"TRUE"
"Sherlock Holmes 18263","Szpinak",70,"FALSE"
"Pablo Escabar 185906","Fasola mung",81,"FALSE"
"Psylocke 98754","Koper",69,"FALSE"
"Boots 182895","Lufa",65,"TRUE"
"Batman 17448","Tymianek",73,"FALSE"
"Legolas 25090","Melon",82,"FALSE"
"Nightcrawler 58268","Orzech wodny",82,"TRUE"
"Mystique 118685","Kiełki fasoli",91,"FALSE"
"Koziołek Matołek 135184","Sorrel",98,"FALSE"
"BB-8 180040","Cukinia",71,"TRUE"
"Patrick Star 96116","Korzeń taro",81,"TRUE"
"Indiana Jones 152400","Pietruszka",88,"FALSE"
"Babcia Ela 56536","Chayote",96,"FALSE"
"Squidward Tentacles 40003","Orzech wodny",63,"TRUE"
"Dora the Explorer 119993","Marchew",94,"TRUE"
"Dipsy 33069","Fasola Lima",65,"TRUE"
"Sven 27212","Korzeń lotosu",78,"FALSE"
"Wolverine 146939","Burak liściowy",98,"FALSE"
"Sandy Cheeks 30604","Rukiew wodna",95,"FALSE"
"Elsa 10930","Kalafior",64,"FALSE"
"Superman 121300","Ziemniak",92,"FALSE"
"Superman 133226","Rabarbar",83,"FALSE"
"Robert Lewandowski 43258","Kard",84,"FALSE"
"Laa-Laa 136400","Rukiew wodna",94,"TRUE"
"Galactus 103759","Kale",87,"FALSE"
"Apocalypse 33643","Koper",108,"FALSE"
"Daredevil 90665","Bazylia tajska",74,"FALSE"
"She-Hulk 34877","Seler",91,"TRUE"
"Ultron 6444","Groch czarnooki",77,"FALSE"
"Mickey Mouse 125098","Żółta cukinia",110,"FALSE"
"Kubuś Puchatek 199550","Rukola",88,"FALSE"
"Bugs Bunny 143672","Fasola Lima",94,"TRUE"
"Kubuś Puchatek 139858","Szczypiorek",94,"TRUE"
"Groot 66147","Burak liściowy",92,"FALSE"
"Vision 133494","Ogórek",80,"FALSE"
"Chewbacca 140334","Papryka",87,"TRUE"
"Diego 5653","Korzeń taro",79,"TRUE"
"Lara Croft 187762","Koper włoski",78,"TRUE"
"Snoop Dogg 142244","Fasola adzuki",81,"TRUE"
"Królewna Śnieżka 47599","Orzech wodny",79,"FALSE"
"Invisible Woman 114072","Cukinia",80,"TRUE"
"Aragorn 61529","Endywia",68,"FALSE"
"Marta Żmuda-Trzebiatowska 147835","Cukinia",71,"FALSE"
"Magneto 142046","Rzepak",73,"FALSE"
"Ghost Rider 117188","Papryka czerwona",96,"TRUE"
"Asterix 49124","Bakłażan",96,"FALSE"
"Mr. Fantastic 117966","Cebula",68,"TRUE"
"Babcia Ela 152628","Orzech wodny",71,"FALSE"
"Królewna Śnieżka 75736","Cebula dymka",69,"TRUE"
"Eminem 177313","Kard",77,"TRUE"
"Gandalf 167309","Cebula",82,"TRUE"
"Xavier 143151","Por",66,"FALSE"
"Genie 109769","Bazylia tajska",55,"FALSE"
"Thanos 90565","Żółta cukinia",112,"FALSE"
"Simba 166886","Papryka czerwona",46,"FALSE"
"Dipsy 39878","Szparagi",84,"TRUE"
"Barack Obama 104411","Radicchio",92,"FALSE"
"Elvis Presley 3448","Fenkuł",69,"TRUE"
"Captain America 134601","Mniszek lekarski",83,"FALSE"
"Ant-Man 37438","Kalafior",67,"FALSE"
"Alicja z Krainy Czarów 73568","Orzech wodny",90,"TRUE"
"Valeria Richards 12971","Marchew",93,"TRUE"
"Lady Deathstrike 46","Chińska kapusta",88,"TRUE"
"Professor X 42601","Banan",73,"TRUE"
"Maria 126682","Chayote",54,"TRUE"
"Xavier 59625","Korzeń taro",61,"TRUE"
"Maria 120793","Rzepak",98,"TRUE"
"Rogue 112809","Ziemniak",91,"FALSE"
"Nightcrawler 149713","Imbir",98,"FALSE"
"Scarlet Witch 182402","Endywia belgijska",96,"FALSE"
"Nightcrawler 41725","Kalarepa",77,"FALSE"
"Mickey Mouse 111748","Liście mniszka",72,"TRUE"
"Moana 103507","Fasola zwykła",91,"FALSE"
"Magenta 79458","Kalafior",108,"FALSE"
"Zeus 118943","Zucchini",81,"TRUE"
"Sauron 13130","Koper",61,"FALSE"
"Silver Surfer 93167","Seler",101,"TRUE"
"Superman 114857","Endywia belgijska",54,"TRUE"
"Storm 162001","Papryka czerwona",69,"TRUE"
"Beast 140691","Por",81,"FALSE"
"R2-D2 151399","Endywia",75,"TRUE"
"Ursula 76061","Ogórek melona",59,"TRUE"
"Magneto 21849","Jabłko",82,"TRUE"
"Simba 44796","Koper włoski",90,"FALSE"
"Bishop 86256","Bakłażan",70,"TRUE"
"Jasmine 173681","Ogórek",90,"FALSE"
"Walt Disney 103934","Chińska kapusta",78,"FALSE"
"Kojot Wile E. 77138","Liście mniszka",59,"TRUE"
"Snoop Dogg 92079","Zucchini",69,"FALSE"
"Marilyn Monroe 197179","Banan",92,"FALSE"
"Vision 147670","Małe marchewki",63,"TRUE"
"Bugs Bunny 52432","Rukola",83,"FALSE"
"Rapunzel 167325","Pędy bambusa",83,"TRUE"
"Babcia Ela 55532","Fasola adzuki",105,"TRUE"
"Erik Killmonger 93841","Seler korzeniowy",117,"FALSE"
"Winter Soldier 51227","Endywia belgijska",73,"FALSE"
"Peter Pan 182498","Karczoch",85,"FALSE"
"Mystique 183138","Radicchio",63,"TRUE"
"Eminem 167932","Cebula",51,"TRUE"
"Gollum 88467","Fasola żuraw",85,"TRUE"
"Black Panther 174367","Ogórek",48,"TRUE"
"Sabretooth 48431","Liście mniszka",89,"FALSE"
"Captain America 148805","Chrzan",73,"FALSE"
"Winter Soldier 73170","Groch cukrowy",84,"FALSE"
"Indiana Jones 7558","Portulaka",65,"FALSE"
"Pablo Escabar 165342","Jarmuż",57,"TRUE"
"Darth Vader 87010","Rabarbar",75,"TRUE"
"Tweety 3748","Kale",71,"FALSE"
"Doug Funnie 149924","Seler",82,"FALSE"
"Jasmine 8870","Burak",109,"TRUE"
"Winnie the Pooh 92726","Pędy bambusa",79,"FALSE"
"Black Panther 39819","Cebula dymka",93,"FALSE"
"Frodo Baggins 183633","Wodna cress",77,"FALSE"
"Storm 182579","Kale",105,"FALSE"
"Sven 1885","Pasternak",60,"FALSE"
"Sven 156950","Zucchini",69,"TRUE"
"Phoenix 175128","Korzeń taro",85,"TRUE"
"Rogue 71546","Fasola haricot vert",119,"FALSE"
"Shrek 86486","Fasola Lima",92,"TRUE"
"Stan Laurel 14506","Marchew",95,"FALSE"
"Leia Organa 91165","Kukurydza",67,"TRUE"
"Bob Budowniczy 8046","Por",63,"TRUE"
"Thor 167638","Sorrel",63,"FALSE"
"Czerwony Kapturek 91953","Groch czarnooki",96,"TRUE"
"Barack Obama 65983","Orzech wodny",79,"FALSE"
"Franklin Richards 168686","Melon",69,"TRUE"
"Ursula 160646","Sałata rzymska",91,"FALSE"
"Joe 22991","Fasola mung",66,"TRUE"
"Aragorn 113996","Kukurydza",58,"FALSE"
"Czerwony Kapturek 132245","Burak",82,"TRUE"
"Nightcrawler 54090","Karczoch",99,"TRUE"
"Superman 132356","Sałata rzymska",48,"TRUE"
"Taskmaster 93761","Grzyb",69,"FALSE"
"BB-8 104707","Imbir",81,"FALSE"
"Hulk 167320","Jabłko",62,"FALSE"
"Storm 139720","Żółta cukinia",86,"TRUE"
"Alicja z Krainy Czarów 173604","Rzepak",70,"TRUE"
"Hades 85993","Koper włoski",63,"FALSE"
"Star-Lord 18135","Ogórek melona",92,"FALSE"
"Doctor Doom 27195","Rzodkiew daikon",74,"FALSE"
"Tom and Jerry 10753","Szpinak",70,"FALSE"
"Galactus 118165","Chayote",76,"FALSE"
"Ursula 27750","Groch czarnooki",94,"TRUE"
"James Bond 32360","Bataty",76,"FALSE"
"Babcia Ela 126222","Cebula dymka",69,"TRUE"
"Moana 30160","Fasola żuraw",107,"TRUE"
"Tommy Pickles 175123","Brukselka",93,"FALSE"
"Fryderyk Chopin 138914","Czosnek",81,"FALSE"
"Simba 74832","Słodka kukurydza",93,"FALSE"
"Legolas 52742","Pędy groszku",70,"TRUE"
"Lara Croft 13797","Melon",105,"TRUE"
"Mystique 180625","Imbir",86,"FALSE"
"Oliver Hardy 8618","Burak",88,"FALSE"
"Star-Lord 33621","Korzeń lotosu",64,"TRUE"
"Jean Grey 104145","Dynia kabocha",98,"TRUE"
"Invisible Woman 163567","Cress",95,"TRUE"
"Baron Zemo 121229","Pietruszka",65,"TRUE"
"Sylvester 176478","Cukinia",89,"FALSE"
"Mickey Mouse 34160","Fasolka szparagowa",82,"TRUE"
"Genie 57845","Jabłko",70,"FALSE"
"Vision 46372","Jarmuż",77,"FALSE"
"Dora the Explorer 29042","Słodka kukurydza",73,"TRUE"
"Franklin Richards 90885","Kalarepa",86,"TRUE"
"The Vision 5351","Rukola",72,"FALSE"
"Lara Croft 129325","Sorrel",76,"FALSE"
"Madonna 63547","Brukselka",96,"FALSE"
"Tom and Jerry 146528","Kukurydza",75,"FALSE"
"SpongeBob SquarePants 28892","Lufa",83,"TRUE"
"Jar Jar Binks 157252","Banan",77,"TRUE"
"Pablo Escabar 36944","Taro",74,"FALSE"
"Helena 40191","Fasola mung",58,"TRUE"
"Hawkeye 11974","Pomidor",93,"TRUE"
"Falcon 175384","Fasola mung",66,"TRUE"
"Mystique 21710","Kolendra",53,"TRUE"
"Domino 107703","Sałata",56,"FALSE"
"James Bond 46367","Chayote",62,"TRUE"
"Boots 14166","Jabłko",94,"FALSE"
"Jafar 57948","Burak liściowy",82,"FALSE"
"Gamora 65737","Rukiew wodna",81,"TRUE"
"Apocalypse 87652","Radicchio",75,"FALSE"
"Drake 102616","Liście mniszka",36,"FALSE"
"Tinky Winky 158441","Kalafior",87,"FALSE"
"Snoop Dogg 185272","Koper włoski",76,"TRUE"
"Magenta 40647","Lufa",86,"FALSE"
"Rapunzel 56247","Fasola adzuki",58,"FALSE"
"Tupac Shakur 108954","Papryka czerwona",71,"FALSE"
"Ultron 91498","Rukola",77,"TRUE"
"Aragorn 69596","Jicama",77,"FALSE"
"Lady Deathstrike 35160","Brzoskwinia",86,"TRUE"
"Eminem 88363","Kolendra",77,"TRUE"
"Frodo Baggins 48024","Portulaka",93,"FALSE"
"Robin Hood 78335","Mâche",85,"TRUE"
"Jean Grey 46025","Szparagi",88,"FALSE"
"Czerwony Kapturek 41903","Kapusta musztardowa",78,"TRUE"
"Obelix 124406","Szczypiorek",83,"TRUE"
"Scarlet Witch 101456","Cress",55,"TRUE"
"Quicksilver 115313","Jicama",84,"FALSE"
"C-3PO 146700","Rabarbar",73,"FALSE"
"Lara Croft 119089","Papryczka chili",91,"TRUE"
"Daffy Duck 102151","Papryczka chili",70,"FALSE"
"Koziołek Matołek 181945","Ziemniak",44,"FALSE"
"Jasmine 21293","Melon",88,"FALSE"
"Quicksilver 25046","Kapusta",84,"TRUE"
"Myszka Miki 4877","Brzoskwinia",88,"FALSE"
"Sherlock Holmes 165248","Korzeń taro",64,"FALSE"
"Victor Von Doom 99774","Fenkuł",92,"FALSE"
"Rocket Raccoon 111126","Papryka żółta",68,"TRUE"
"Johnny Depp 49468","Rzepak",91,"FALSE"
"Leonardo da Vinci 183899","Rukola",76,"FALSE"
"Jasmine 34681","Lufa",61,"FALSE"
"Mr. Krabs 122680","Cress",68,"FALSE"
"Rogue 148333","Papryka zielona",79,"FALSE"
"Po 39822","Rabarbar",69,"FALSE"
"Aragorn 143110","Szpinak",90,"FALSE"
"Diego 49259","Ogórek melona",82,"TRUE"
"Chewbacca 3342","Pomidor",61,"FALSE"
"Johnny Depp 159855","Rzodkiew",79,"TRUE"
"Robert Lewandowski 178553","Mniszek lekarski",97,"TRUE"
"Black Widow 127746","Groch cukrowy",62,"FALSE"
"Squidward Tentacles 132707","Seler",89,"TRUE"
"Baron Zemo 98088","Melon",94,"FALSE"
"Kristoff 184785","Pomidor",48,"FALSE"
"Thanos 87911","Chińska kapusta",67,"TRUE"
"Koziołek Matołek 37496","Koper włoski",72,"TRUE"
"James Bond 145186","Endywia belgijska",62,"TRUE"
"Król Julian 189625","Pędy bambusa",75,"FALSE"
"Alicja z Krainy Czarów 4620","Ogórek melona",46,"TRUE"
"Falcon 77570","Portulaka",80,"TRUE"
"Winnie the Pooh 173246","Marchew",69,"FALSE"
"Howard the Duck 80826","Cukier trzcinowy",82,"TRUE"
"Indiana Jones 129624","Korzeń taro",79,"FALSE"
"Invisible Woman 3412","Jabłko",109,"TRUE"
"Thanos 138487","Endywia belgijska",61,"FALSE"
"C-3PO 150070","Arbuz",90,"FALSE"
"Obelix 156812","Papryka",89,"TRUE"
"Tweety 61607","Jabłko",73,"FALSE"
"Frodo Baggins 198128","Orzech wodny",99,"TRUE"
"Rocket Raccoon 186651","Brokuł",76,"TRUE"
"Tommy Pickles 175010","Kukurydza",66,"TRUE"
"Angelica Pickles 116034","Arbuz",86,"FALSE"
"Drake 103134","Słodka kukurydza",94,"TRUE"
"Shrek 41536","Ogórek melona",94,"TRUE"
"Squidward Tentacles 82246","Bakłażan",67,"TRUE"
"Chuckie Finster 63720","Brzoskwinia",56,"FALSE"
"She-Hulk 197437","Brukselka",72,"TRUE"
"Anna 154236","Czosnek",67,"TRUE"
"Tom and Jerry 129941","Koper włoski",89,"TRUE"
"Rocket Raccoon 137488","Grzyb",93,"TRUE"
"Rogue 15625","Pomidor",64,"FALSE"
"Iron Man 49639","Małe marchewki",108,"TRUE"
"Cable 138339","Cukier trzcinowy",63,"TRUE"
"Nick Fury 11337","Sól morska",61,"TRUE"
"Asterix 137218","Koper",59,"TRUE"
"Elsa 58211","Kiełki fasoli",81,"FALSE"
"Gollum 178771","Seler korzeniowy",70,"FALSE"
"Groot 88960","Kolendra",58,"TRUE"
"Magenta 181230","Kolendra",65,"TRUE"
"Silver Surfer 23034","Kapusta",83,"TRUE"
"Quicksilver 82965","Rukola",84,"TRUE"
"Marilyn Monroe 191403","Kapusta musztardowa",59,"TRUE"
"SpongeBob SquarePants 95515","Fasola Lima",95,"FALSE"
"Aladyn 112753","Bakłażan",65,"TRUE"
"Daredevil 144486","Czosnek",80,"TRUE"
"Tom and Jerry 36338","Zucchini",65,"TRUE"
"Ghost Rider 160522","Rzepak",91,"FALSE"
"Howard the Duck 41283","Fasola żuraw",96,"TRUE"
"Myszka Miki 147444","Papryka żółta",102,"FALSE"
"Spiderman 73067","Melon",78,"FALSE"
"Kuba Wojewódzki 75122","Fasola Lima",80,"TRUE"
"Hades 136996","Bataty",97,"FALSE"
"Luke Skywalker 37010","Por",62,"TRUE"
"Storm 93080","Mniszek lekarski",69,"FALSE"
"Tinky Winky 167114","Brzoskwinia",66,"FALSE"
"Stan Laurel 101326","Pomidor",69,"TRUE"
"Superman 92421","Cukinia",79,"FALSE"
"Kristoff 53164","Papryka",75,"TRUE"
"Drake 114871","Imbir",81,"FALSE"
"Sauron 27456","Lufa",88,"FALSE"
"Luke Skywalker 71819","Ogórek melona",72,"TRUE"
"Robert Lewandowski 183898","Fenkuł",60,"TRUE"
"Red Skull 25848","Bazylia tajska",78,"FALSE"
"Frodo Baggins 22310","Fasola adzuki",66,"TRUE"
"Poseidon 146310","Mâche",59,"FALSE"
"Batman 94702","Fasola zwykła",35,"TRUE"
"Drax 190342","Jicama",67,"FALSE"
"Blade 186130","Papryczka chili",60,"TRUE"
"Galactus 133448","Kalafior",86,"FALSE"
"Tinky Winky 148086","Pasternak",72,"TRUE"
"Domino 13043","Fasola mung",75,"TRUE"
"Genie 134964","Fenkuł",93,"TRUE"
"Sabretooth 115414","Sól morska",63,"TRUE"
"Superman 91673","Szparagi",94,"TRUE"
"SpongeBob SquarePants 111734","Papryka czerwona",82,"TRUE"
"Hawkeye 76202","Korzeń taro",85,"FALSE"
"Joe 79364","Żółta cukinia",81,"FALSE"
"Nightcrawler 93049","Bazylia tajska",74,"TRUE"
"Robin Hood 66231","Rzepak",76,"TRUE"
"Okoye 92356","Chayote",88,"TRUE"
"Iron Fist 2902","Rukola",86,"FALSE"
"Tupac Shakur 100507","Groch cukrowy",62,"FALSE"
"Mr. Krabs 77659","Koper włoski",75,"TRUE"
"Lara Croft 158360","Kiełki fasoli",89,"TRUE"
"Snoop Dogg 54862","Brukselka",104,"FALSE"
"Juliusz Słowacki 104254","Dynia kabocha",68,"FALSE"
"Doctor Doom 187602","Szczypiorek",86,"FALSE"
"Aladyn 89413","Bataty",59,"FALSE"
"Legolas 88890","Kalafior",50,"FALSE"
"Marilyn Monroe 100277","Orzech wodny",70,"FALSE"
"Wolverine 13603","Dynia kabocha",76,"FALSE"
"Asterix 27848","Radicchio",74,"FALSE"
"Elsa 135201","Słodka kukurydza",90,"FALSE"
"Lady Deathstrike 5194","Cebula",80,"TRUE"
"Xavier 97359","Cukinia",92,"TRUE"
"James Bond 63663","Kiełki fasoli",62,"FALSE"
"The Punisher 90587","Papryka żółta",86,"TRUE"
"Tom and Jerry 158918","Seler korzeniowy",99,"FALSE"
"Dipsy 111127","Kiełki fasoli",87,"FALSE"
"Asterix 81694","Rzepak",80,"FALSE"
"Johnny Depp 110734","Fasola adzuki",76,"TRUE"
"Nightcrawler 92953","Liście mniszka",68,"TRUE"
"Tom and Jerry 107802","Ogórek melona",80,"FALSE"
"Diego 55613","Por",55,"TRUE"
"Obelix 107244","Brzoskwinia",69,"FALSE"
"Sandy Cheeks 35152","Por",51,"FALSE"
"Nightcrawler 188454","Rukiew wodna",73,"TRUE"
"Bruce Lee 106288","Wodna cress",88,"FALSE"
"Luke Cage 192609","Radicchio",77,"FALSE"
"Angelica Pickles 91740","Melon",57,"FALSE"
"Domino 157292","Szczypiorek",94,"FALSE"
"Chewbacca 195644","Seler korzeniowy",82,"TRUE"
"Zeus 193383","Groch cukrowy",71,"FALSE"
"Red Skull 199197","Burak liściowy",77,"TRUE"
"Beast 198748","Fasola adzuki",92,"TRUE"
"Ant-Man 18743","Por",87,"FALSE"
"Walt Disney 62328","Słodka kukurydza",98,"TRUE"
"Boots 12409","Fasola gołębia",93,"TRUE"
"Kubuś Puchatek 153961","Żółta cukinia",89,"TRUE"
"Papa Smerf 149000","Orzech wodny",79,"FALSE"
"Aragorn 29770","Papryka żółta",80,"TRUE"
"Shrek 19226","Imbir",79,"TRUE"
"Doctor Doom 149016","Endywia belgijska",86,"FALSE"
"Cable 13837","Małe marchewki",76,"FALSE"
"Doctor Strange 168696","Szparagi",54,"TRUE"
"Adam Mickiewicz 158389","Tymianek",93,"TRUE"
"Snoop Dogg 92357","Papryka zielona",100,"TRUE"
"Red Skull 146970","Portulaka",87,"TRUE"
"Galactus 195229","Brokuł",87,"TRUE"
"Bugs Bunny 159139","Sorrel",79,"FALSE"
"Daredevil 42425","Orzech wodny",78,"FALSE"
"Nick Fury 3546","Jarmuż",92,"FALSE"
"Mr. Fantastic 48962","Portulaka",72,"TRUE"
"Swiper 179314","Żółta cukinia",74,"FALSE"
"Elvis Presley 41339","Papryka zielona",85,"TRUE"
"Rogue 102631","Żółta cukinia",95,"FALSE"
"Elsa 199574","Mâche",74,"FALSE"
"Scar 140514","Seler korzeniowy",88,"TRUE"
"Swiper 93066","Radicchio",62,"TRUE"
"Tupac Shakur 21623","Ogórek melona",98,"TRUE"
"Eminem 6638","Ziemniak",60,"TRUE"
"Simba 95507","Rzodkiew daikon",67,"FALSE"
"Omega Red 145587","Kukurydza",82,"FALSE"
"Alicja z Krainy Czarów 173506","Wodna cress",78,"TRUE"
"Czerwony Kapturek 186884","Papryka żółta",84,"FALSE"
"Joe 190478","Rukiew wodna",106,"TRUE"
"Maria 88883","Szpinak",82,"FALSE"
"Shuri 75263","Bakłażan",90,"TRUE"
"Tweety 68337","Jabłko",71,"TRUE"
"Bishop 71801","Małe marchewki",73,"TRUE"
"Tweety 170384","Zucchini",77,"FALSE"
"Eminem 140492","Papryka",91,"TRUE"
"Simba 5989","Fasola gołębia",94,"FALSE"
"Charlie Chaplin 107114","Kalafior",76,"TRUE"
"Magenta 47964","Cukinia",85,"FALSE"
"Erik Killmonger 107564","Por",94,"TRUE"
"Omega Red 5962","Kolendra",65,"TRUE"
"Marilyn Monroe 99732","Seler korzeniowy",77,"TRUE"
"Kang the Conqueror 158998","Koper włoski",96,"FALSE"
"Po 4418","Rzodkiew",108,"FALSE"
"Królewna Śnieżka 124528","Zucchini",70,"FALSE"
"Sven 15900","Arbuz",72,"TRUE"
"Yoda 41146","Fasola zwykła",73,"FALSE"
"Jar Jar Binks 64300","Papryczka chili",92,"TRUE"
"Król Julian 184850","Brukselka",95,"FALSE"
"Legolas 99057","Brzoskwinia",81,"TRUE"
"Gollum 196733","Groch czarnooki",86,"FALSE"
"Rogue 10182","Chayote",81,"TRUE"
"Aragorn 115873","Fasola mung",42,"FALSE"
"Gandalf 155430","Por",78,"TRUE"
"Stan Laurel 197908","Zucchini",76,"TRUE"
"Kristoff 25149","Rzodkiew daikon",60,"TRUE"
"Black Widow 157382","Papryka",76,"TRUE"
"Darth Maul 47852","Kapusta",72,"TRUE"
"Kristoff 34993","Żółta cukinia",37,"TRUE"
"Silver Surfer 129272","Jarmuż",88,"FALSE"
"Notorious B.I.G. 96692","Czosnek",79,"FALSE"
